problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,VERDICT: FALSE,2.61,2493,38,0.000261,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact true routes or clear syntactic false routes, and no other decisive route fires."
hard2_0002,False,False,True,True,VERDICT: FALSE,72.01,2469,85,0.000274,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the true routes, and no clear syntactic false route applies directly. Given the complexity and the specific nature of the"
hard2_0003,True,False,False,True,VERDICT: FALSE,86.76,2491,38,0.000261,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact true routes or clear syntactic false routes, and no other decisive route applies."
hard2_0004,True,False,False,True,VERDICT: FALSE,106.74,2469,90,0.000276,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the true routes, and no clear syntactic false route applies directly. The equations given are complex and do not directly"
hard2_0005,True,False,False,True,VERDICT: FALSE,117.78,2469,87,0.000275,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. Given the complexity and the specific nature "
hard2_0006,True,False,False,True,VERDICT: FALSE,133.57,2494,87,0.000277,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. Given the complexity and the specific nature "
hard2_0007,False,False,True,True,VERDICT: FALSE,144.91,2493,81,0.000275,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. Given the complexity and the lack of a straig"
hard2_0008,True,False,False,True,VERDICT: FALSE,159.33,2493,38,0.000261,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact true routes or clear syntactic false routes, and no other decisive route applies."
hard2_0009,False,False,True,True,VERDICT: FALSE,176.77,2493,110,0.000284,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no exact FALSE route fires directly. Given the complexity of the equations and the lack of a d"
hard2_0010,False,False,True,True,VERDICT: FALSE,10.03,2494,100,0.000281,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. The equations given are x = (x * y) * ((x * y"
hard2_0011,False,False,True,True,VERDICT: FALSE,20.91,2466,98,0.000278,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the true routes, and there is no clear syntactic false route that applies directly. The equations given are x = y * ((x *"
hard2_0012,False,False,True,True,VERDICT: FALSE,41.66,2493,110,0.000284,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. The equations provided are complex and do not"
hard2_0013,False,False,True,True,VERDICT: FALSE,56.36,2469,110,0.000282,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the true routes, and no clear syntactic false route applies directly. Given the complexity and the specific nature of the"
hard2_0014,False,False,True,True,VERDICT: FALSE,67.95,2493,90,0.000278,"VERDICT: FALSE\nRULE: default false\n\nThe given equations do not match any of the exact TRUE routes, and no clear syntactic FALSE route applies directly. Given the complexity and the specific nature "
