  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
  Request error: 404, message='Not Found', url='https://openrouter.ai/api/v1/chat/completions', retrying in 5s...
