problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,labeled:TRUE,636.85,3273,488,0.000220,"REASONING: Eq1 is bare and can be renamed to the form x = T * x with T = y. T does not contain x, so rule 2.7 (right projection) applies, forcing a * b = b in any magma satisfying Eq1. Under this forc"
hard3_0002,True,False,False,True,labeled:FALSE,658.23,3277,900,0.000299,REASONING: default false fallback\nVERDICT: FALSE
hard3_0003,True,False,False,True,labeled:FALSE,688.68,3277,1367,0.000388,REASONING: default false fallback\nVERDICT: FALSE
hard3_0004,True,True,True,True,labeled:TRUE,692.21,3277,321,0.000189,"REASONING: The source equation is bare and can be renamed to x = T where T = y*(z*w). The variable x does not appear in T, satisfying the singleton collapse condition (Rule 2.3). This forces the magma"
hard3_0005,True,True,True,True,labeled:TRUE,714.04,3276,449,0.000213,"REASONING: Eq1 is bare and can be renamed to the form x = T * x with T = (y*z). T does not contain x, so rule 2.7 (right projection) applies, forcing a*b = b for all elements. Under this projection, E"
hard3_0006,True,True,True,True,labeled:TRUE,736.49,3275,741,0.000269,"REASONING: The premise x*x = x*y forces, for each element a, the map b ↦ a*b to be constant (independent of b). Hence a*a = a*b for all b, and consequently a*(a*a) = a*(b*c) for any b,c, because both "
hard3_0007,False,False,True,True,labeled:FALSE,754.72,3275,423,0.000208,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0008,True,False,False,True,labeled:FALSE,765.95,3275,310,0.000187,REASONING: default false fallback\nVERDICT: FALSE
hard3_0009,False,False,True,True,labeled:FALSE,795.54,3280,453,0.000214,REASONING: default false fallback\nVERDICT: FALSE
hard3_0010,False,False,True,True,labeled:FALSE,824.45,3279,730,0.000267,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0011,False,False,True,True,labeled:FALSE,870.80,3280,1493,0.000412,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0012,False,False,True,True,labeled:FALSE,875.20,3280,644,0.000250,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0013,False,False,True,True,labeled:FALSE,900.07,3280,1030,0.000324,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0014,True,True,True,True,labeled:TRUE,918.14,3280,391,0.000202,"REASONING: Eq1 is of the form x = x * T where T = (y * (z * y)) does not contain x. By rule 2.6 (Left projection) this forces a * b = a for all elements of any magma. Applying this projection to Eq2, "
hard3_0015,True,True,True,True,labeled:TRUE,928.55,3279,369,0.000198,"REASONING: Eq1 is of the form x = x * T with T = y * (z * z). T does not contain x, so by rule 2.6 (left projection) the equation forces the left projection law a * b = a in every magma satisfying Eq1"
hard3_0016,False,False,True,True,labeled:FALSE,961.51,3280,601,0.000242,REASONING: default false fallback\nVERDICT: FALSE
hard3_0017,False,False,True,True,labeled:FALSE,993.21,3277,837,0.000287,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0018,False,False,True,True,labeled:FALSE,1014.86,3280,675,0.000256,REASONING: default false fallback\nVERDICT: FALSE
hard3_0019,False,False,True,True,labeled:FALSE,1033.68,3280,574,0.000237,REASONING: spine isolation\nVERDICT: FALSE\nPROOF:
hard3_0020,True,False,False,True,labeled:FALSE,161.98,3281,888,0.000297,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0021,False,False,True,True,labeled:FALSE,183.85,3280,517,0.000226,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0022,False,False,True,True,labeled:FALSE,453.22,3279,882,0.000295,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0023,True,False,False,True,labeled:FALSE,510.16,3274,1412,0.000396,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0024,True,False,False,True,labeled:FALSE,31.32,3280,1539,0.000420,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0025,False,False,True,True,labeled:FALSE,27.03,3281,697,0.000260,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0026,False,False,True,True,labeled:FALSE,53.23,3281,1059,0.000329,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0027,True,False,False,True,labeled:FALSE,73.53,3278,1016,0.000321,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0028,True,False,False,True,labeled:FALSE,85.66,3281,605,0.000243,REASONING: default false fallback\nVERDICT: FALSE
hard3_0029,False,False,True,True,labeled:FALSE,113.44,3279,855,0.000290,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0030,True,False,False,True,labeled:FALSE,142.10,3280,1079,0.000333,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0031,False,False,True,True,labeled:FALSE,175.21,3280,1397,0.000393,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0032,False,False,True,True,labeled:FALSE,195.84,3280,987,0.000315,REASONING: default false fallback\nVERDICT: FALSE
hard3_0033,True,False,False,True,labeled:FALSE,209.52,3280,658,0.000253,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0034,True,False,False,True,labeled:FALSE,217.20,3281,498,0.000223,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0035,False,False,True,True,labeled:FALSE,245.86,3281,1199,0.000356,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0036,True,False,False,True,labeled:FALSE,276.48,3281,1164,0.000349,REASONING: default false fallback\nVERDICT: FALSE
hard3_0037,False,False,True,True,labeled:FALSE,272.41,3279,657,0.000253,REASONING: default false fallback\nVERDICT: FALSE
hard3_0038,True,False,False,True,labeled:FALSE,295.14,3279,841,0.000288,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0039,False,False,True,True,labeled:FALSE,310.22,3281,643,0.000250,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0040,False,False,True,True,labeled:FALSE,342.07,3280,1113,0.000339,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0041,False,False,True,True,labeled:FALSE,371.87,3280,1329,0.000380,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0042,False,False,True,True,labeled:FALSE,371.78,3280,612,0.000244,REASONING: default false fallback\nVERDICT: FALSE
hard3_0043,True,False,False,True,labeled:FALSE,405.46,3280,1360,0.000386,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0044,False,False,True,True,labeled:FALSE,416.90,3279,967,0.000312,REASONING: default false fallback\nVERDICT: FALSE
hard3_0045,False,False,True,True,labeled:FALSE,433.85,3280,706,0.000262,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0046,True,True,True,True,labeled:TRUE,448.90,3280,522,0.000227,REASONING: Right projection (Rule 2.7) applies because Eq1 can be renamed x = T * x with T = ((y*z)*y) not containing x. This forces a*b = b in all magmas. Applying this projection to Eq2 reduces the 
hard3_0047,True,True,True,True,labeled:TRUE,469.20,3279,599,0.000242,"REASONING: The source equation is bare and matches the right‑projection pattern x = T * x with T = (y*z)*y, which does not contain x. Hence the source forces a*b = b for all elements of any magma. App"
hard3_0048,True,True,True,True,labeled:TRUE,495.70,3280,567,0.000236,"REASONING: Eq1 is a bare equation of the form x = T * x where T = ((y*z)*z) does not contain x. By rule 2.7 (Right projection), any magma satisfying Eq1 must satisfy the projection law a * b = b for a"
hard3_0049,True,True,True,True,labeled:TRUE,512.40,3280,770,0.000274,"REASONING: Eq1 is of the form x = T * x where T = ((y*z)*w) does not contain x. By rule 2.7 (right projection) this forces a*b = b for all a,b. Applying this projection to Eq2 reduces the right‑hand s"
hard3_0050,False,False,True,True,labeled:FALSE,533.58,3278,912,0.000301,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0051,True,False,False,True,labeled:FALSE,544.45,3278,437,0.000211,REASONING: missing-variable absorption\nVERDICT: FALSE
hard3_0052,True,False,False,True,labeled:FALSE,565.33,3279,198,0.000166,REASONING: default false fallback\nVERDICT: FALSE
hard3_0053,True,True,True,True,labeled:TRUE,587.34,3279,754,0.000271,"REASONING: Missing-variable absorption (right absorption) applies because Eq1 can be renamed to x*y = g(y) with x not appearing in the right‑hand side. Under the induced right‑projection law a*b = b, "
hard3_0054,True,True,True,True,labeled:TRUE,611.37,3278,675,0.000256,"REASONING: Eq1 fits rule 2.4 (constant-operation source) because it can be renamed x*y = T where T = z*(z*w) and vars(T) ∩ {x,y}=∅. This forces the binary operation to be constant in all magmas. Subst"
hard3_0055,False,False,True,True,labeled:FALSE,635.59,3278,473,0.000218,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0056,False,False,True,True,labeled:FALSE,645.22,3279,334,0.000191,REASONING: default false fallback\nVERDICT: FALSE
hard3_0057,False,False,True,True,labeled:FALSE,667.58,3275,252,0.000176,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0058,True,False,False,True,labeled:FALSE,703.78,3275,818,0.000283,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0059,False,False,True,True,labeled:FALSE,719.63,3279,637,0.000249,REASONING: default false fallback\nVERDICT: FALSE
hard3_0060,True,False,False,True,labeled:FALSE,743.66,3279,571,0.000236,REASONING: missing-variable absorption\nVERDICT: FALSE
hard3_0061,True,False,False,True,labeled:FALSE,759.41,3278,471,0.000217,REASONING: constant-operation source\nVERDICT: FALSE
hard3_0062,False,False,True,True,labeled:FALSE,776.84,3283,793,0.000279,VERDICT: FALSE\nREASONING: default false fallback
hard3_0063,False,False,True,True,labeled:FALSE,807.78,3283,930,0.000305,REASONING: leftmost-variable exclusion  \nVERDICT: FALSE  \nPROOF:
hard3_0064,False,False,True,True,labeled:FALSE,848.78,3283,1756,0.000462,REASONING: default false fallback\nVERDICT: FALSE
hard3_0065,False,False,True,True,labeled:FALSE,869.44,3279,1532,0.000419,REASONING: default false fallback\nVERDICT: FALSE
hard3_0066,True,False,False,True,labeled:FALSE,877.66,3284,727,0.000266,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0067,True,False,False,True,labeled:FALSE,906.88,3283,1167,0.000350,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0068,True,True,True,True,labeled:TRUE,918.77,3283,551,0.000233,REASONING: The source equation is bare and can be renamed to the form x = x * T where T = y * (z * (z * z)) does not contain x. By rule 2.6 (left projection) this forces the projection law a * b = a f
hard3_0069,False,False,True,True,labeled:FALSE,938.00,3284,747,0.000270,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0070,False,False,True,True,labeled:FALSE,963.99,3280,687,0.000258,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0071,False,False,True,True,labeled:FALSE,1008.79,3284,1439,0.000401,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0072,False,False,True,True,labeled:FALSE,1020.79,3283,735,0.000268,REASONING: spine isolation  \nVERDICT: FALSE  \nPROOF:  
hard3_0073,False,False,True,True,labeled:FALSE,1039.92,3283,706,0.000262,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0074,False,False,True,True,labeled:FALSE,12.23,3284,611,0.000244,REASONING: default false fallback\nVERDICT: FALSE
hard3_0075,False,False,True,True,labeled:FALSE,26.34,3284,618,0.000245,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0076,False,False,True,True,labeled:FALSE,49.07,3284,783,0.000277,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0077,True,False,False,True,labeled:FALSE,67.49,3282,721,0.000265,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0078,False,False,True,True,labeled:FALSE,101.30,3283,1264,0.000368,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0079,False,False,True,True,labeled:FALSE,110.29,3284,636,0.000249,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
